,fed_pos,fed_neg,w2v_pos,w2v_neg,w2v_refined_0_pos,w2v_refined_0_neg,w2v_refined_1_pos,w2v_refined_1_neg,w2v_refined_2_pos,w2v_refined_2_neg
343,,,solidity,pull,successfu,erosion,vigorously,appreciation,favorable,expose
344,,,steadiness,weigh_heavily,ambitious,erode,successful,degradation,favourably,worry
345,,,durability,propel,suc_cessful,deterioration,skilfully,weakness,healthy,concern
346,,,vitality,lurch,innovative,steady_erosion,satisfactorily,decline,improve,anxiety
347,,,softness,rumble,uccessful,diminution,energetically,destruction,improvement,fret
348,,,toughness,slip,hugely_successful,shrinkage,intensively,weaken,mitigate,suspicion
349,,,sensitivity,drive,excite,erode,robustly,precipitous_drop,positive,fearful
350,,,success,suck,prestigious,appreciation,swiftly,downward_spiral,positively,doubt
351,,,resilience,drag,sophisticate,degradation,efficiently,reassessment,profits,jitter
352,,,robust,undermine,cessful,weakness,rapidly,erosion,rebound,warn
353,,,buoyant,diminish,successul,decline,dynamically,aggravate,recover,anger
354,,,surprisingly_resilient,weaken,impressive,destruction,profitably,cause,recovery,con_cerns
355,,,remarkably_resilient,steadily_erode,successful,weaken,consistently,accentuate,resilience,concems
356,,,strong,hurt,effectively,precipitous_drop,successfully,hamper,resilient,nervousness
357,,,stable,whittle_away,vigorously,downward_spiral,able,beset,solid,fear
358,,,sluggish,severely_dent,successful,reassessment,enable,affect,sound,threaten
359,,,subdue,exacerbate,skilfully,erosion,adequately,heighten,stabilise,orce
360,,,healthy,curtail,satisfactorily,aggravate,benign,plague,stabilize,orces
361,,,volatile,crimp,energetically,cause,buoyant,worsen,success,persuade
362,,,weak,decimate,intensively,accentuate,buoyancy,overshadow,successful,urge
363,,,profitable,reduce,robustly,hamper,comfortable,trigger,successfully,reluctant
364,,,benign,constrain,swiftly,magnify,confident,undermine,,threat
365,,,vulnerable,outweigh,efficiently,beset,enhance,bedevil,,force
366,,,solid,erosion,rapidly,affect,favorable,hurt,,vulnerability
367,,,resilient,erode,dynamically,heighten,favourably,exacerbate,,precariousness
368,,,strong,deterioration,profitably,plague,healthy,vulnerable,,frailty
369,,,robust,steady_erosion,consistently,worsen,improve,susceptible,,sluggishness
370,,,impressive,diminution,successfully,overshadow,improvement,prone,,parlous_state
371,,,healthy,shrinkage,able,trigger,mitigate,lay_bare,,weakness
372,,,stable,erode,enable,undermine,positive,confine,,inadequacy
373,,,solidly,appreciation,adequately,bedevil,positively,exploit,,centrality
374,,,stellar,degradation,benign,hurt,profits,hurt,,cyclicality
375,,,resilient,weakness,buoyant,exacerbate,rebound,perceive,,fragility
376,,,respectable,decline,buoyancy,vulnerable,recover,ignore,,downbeat
377,,,uninspiring,destruction,comfortable,susceptible,recovery,affect,,bleak
378,,,sturdy,weaken,confident,prone,resilience,afflict,,pessimistic
379,,,unexciting,precipitous_drop,enhance,lay_bare,resilient,suffer,,grim
380,,,decent,intensification,favorable,confine,solid,confront,,bearish
381,,,enviable,downward_spiral,favourably,exploit,sound,cause,,glum
382,,,buoyant,reassessment,healthy,hurt,stabilise,induce,,sombre
383,,,solid,erosion,improve,perceive,stabilize,expose,,dismal
384,,,mawkish,aggravate,improvement,ignore,success,worry,,gloomy_outlook
385,,,dissonant,cause,mitigate,affect,successful,concern,,gloomy
386,,,tinny,accentuate,positive,afflict,successfully,anxiety,,adversely_affect
387,,,tuneful,hamper,positively,suffer,,fret,,hamper
388,,,plangent,magnify,profits,confront,,suspicion,,exacerbate
389,,,synthesiser,beset,rebound,cause,,fearful,,undermine
390,,,appealingly,affect,recover,induce,,speculation,,hobble
391,,,bouncy,heighten,recovery,expose,,doubt,,crimp
392,,,whimsy,plague,resilience,worry,,jitter,,erode
393,,,unearthly,worsen,resilient,concern,,warn,,hit
394,,,astringent,overshadow,solid,anxiety,,anger,,aggravate
395,,,soporific,trigger,sound,fret,,con_cerns,,hinder
396,,,sublimely,undermine,stabilise,suspicion,,concems,,harm
397,,,portentous,bedevil,stabilize,fearful,,nervousness,,cripple
398,,,quirky,hurt,success,speculation,,fear,,dent
399,,,sound,exacerbate,successful,doubt,,threaten,,decimate
400,,,stabilize,vulnerable,successfully,jitter,,orce,,hurt
401,,,weaken,susceptible,,warn,,troop,,risky
402,,,normalise,prone,,anger,,orces,,highly_leverage
403,,,restore_confidence,lay_bare,,con_cerns,,persuade,,illiquidity
404,,,falter,confine,,concems,,army,,opaque
405,,,recover,exploit,,nervousness,,urge,,volatile
406,,,strengthen,hurt,,fear,,reluctant,,illiquid
407,,,regain_momentum,perceive,,threaten,,threat,,impairment_charge
408,,,reflate,ignore,,orce,,rearm,,writedown
409,,,restore,affect,,troop,,unilaterally,,write_offs
410,,,deteriorate,afflict,,orces,,yugoslav_army,,writedowns
411,,,rebalance,suffer,,persuade,,military,,goodwill_impairment
412,,,revive,confront,,army,,force,,writeoff
413,,,stabilisation,cause,,oblige,,vulnerability,,writeoffs
414,,,soften,induce,,urge,,precariousness,,unrealise_loss
415,,,stabilise,expose,,reluctant,,frailty,,npls
416,,,stabilise,worry,,threat,,sluggishness,,delinquency
417,,,normalise,concern,,rearm,,parlous_state,,loss
418,,,reflate,anxiety,,unilaterally,,weakness,,contingent_liability
419,,,stabilization,fret,,yugoslav_army,,inadequacy,,intangible_asset
420,,,restore_confidence,suspicion,,military,,centrality,,exceptional_item
421,,,regain_momentum,fearful,,force,,cyclicality,,impairment
422,,,choke_off,speculation,,vulnerability,,interconnectedness,,unwillingness
423,,,readjust,hope,,precariousness,,fragility,,failure
424,,,deleverage,doubt,,resilience,,downbeat,,reluctance
425,,,rebalance,jitter,,robustness,,bleak,,apparent_inability
426,,,recalibrate,warn,,frailty,,pessimistic,,refusal
427,,,deflate,anger,,sluggishness,,grim,,unable
428,,,weaken,con_cerns,,strength,,bearish,,inability
429,,,stabilisation,concems,,solidity,,glum,,endanger
430,,,kickstart,nervousness,,parlous_state,,sombre,,imperil
431,,,stabilize,fear,,weakness,,dismal,,undermine
432,,,suc_cess,threaten,,inadequacy,,gloomy_outlook,,hinder
433,,,achievement,orce,,centrality,,mistic,,impede
434,,,uccess,troop,,cyclicality,,gloomy,,derail
435,,,sucess,orces,,interconnectedness,,affect,,hamper
436,,,accomplishment,persuade,,fragility,,adversely_affect,,fatally_undermine
437,,,succes,army,,downbeat,,hamper,,stymie
438,,,breakthrough,oblige,,bleak,,exacerbate,,severely_hamper
439,,,resilience,urge,,pessimistic,,undermine,,adversely_affect
440,,,prowess,civilian,,grim,,hobble,,impair
441,,,ambition,reluctant,,bearish,,crimp,,disrupt
442,,,dynamism,threat,,glum,,erode,,stifle
443,,,outperformance,rearm,,sombre,,hit,,scupper
444,,,progress,unilaterally,,dismal,,aggravate,,jeopardise
445,,,survival,yugoslav_army,,gloomy_outlook,,hinder,,shed
446,,,strength,military,,mistic,,harm,,slip
447,,,success,force,,gloomy,,cripple,,drop
448,,,succesful,vulnerability,,affect,,dent,,disappear
449,,,profitable,precariousness,,adversely_affect,,decimate,,fall
450,,,sucessful,resilience,,hamper,,hurt,,miss
451,,,successfu,robustness,,exacerbate,,risky,,claw_back
452,,,ambitious,frailty,,undermine,,mispriced,,cede
453,,,suc_cessful,sluggishness,,hobble,,highly_leverage,,destroy
454,,,innovative,strength,,crimp,,liquid,,lose
455,,,uccessful,solidity,,erode,,cdos,,bearish
456,,,hugely_successful,parlous_state,,hit,,illiquidity,,adverse
457,,,excite,weakness,,aggravate,,opaque,,unfavourable
458,,,prestigious,inadequacy,,hinder,,securitised,,weak
459,,,sophisticate,buoyancy,,harm,,cdo,,unfavorable
460,,,cessful,centrality,,cripple,,synthetic_cdo,,contractionary
461,,,successul,cyclicality,,dent,,volatile,,downbeat
462,,,impressive,interconnectedness,,decimate,,sivs,,volatile
463,,,successful,fragility,,hurt,,synthetic_cdos,,adversely
464,,,effectively,downbeat,,risky,,overpriced,,short_term
465,,,aggressively,bleak,,mispriced,,abcp,,gloomy
466,,,vigorously,pessimistic,,highly_leverage,,illiquid,,negative
467,,,successful,upbeat,,liquid,,impairment_charge,,confront
468,,,skilfully,grim,,cdos,,writedown,,beset
469,,,satisfactorily,bullish,,illiquidity,,write_offs,,exacerbate
470,,,energetically,rosy,,opaque,,writedowns,,aggravate
471,,,intensively,optimistic,,securitised,,goodwill_impairment,,tackle
472,,,robustly,bearish,,cdo,,writeoff,,sidestep
473,,,swiftly,glum,,synthetic_cdo,,writeoffs,,sacing
474,,,efficiently,sanguine,,volatile,,unrealise_loss,,overcome
475,,,rapidly,sombre,,sivs,,npls,,cause
476,,,dynamically,dismal,,synthetic_cdos,,delinquency,,provoke
477,,,profitably,gloomy_outlook,,overpriced,,loss,,expose
478,,,consistently,mistic,,abcp,,contingent_liability,,pose
479,,,successfully,gloomy,,illiquid,,intangible_asset,,ques_tions
480,,,able,affect,,impairment_charge,,exceptional_item,,ques_tion
481,,,enable,adversely_affect,,writedown,,impairment,,doubt
482,,,adequately,hamper,,write_offs,,unwillingness,,thorny_question
483,,,benign,exacerbate,,writedowns,,failure,,dilemma
484,,,buoyant,undermine,,goodwill_impairment,,reluctance,,unanswered_question
485,,,buoyancy,hobble,,writeoff,,apparent_inability,,query
486,,,comfortable,crimp,,writeoffs,,refusal,,debate
487,,,confident,erode,,unrealise_loss,,unable,,conundrum
488,,,enhance,hit,,npls,,inability,,concern
489,,,favorable,aggravate,,delinquency,,endanger,,thorny_issue
490,,,favourably,hinder,,loss,,imperil,,vex_question
491,,,healthy,harm,,contingent_liability,,undermine,,disagreement
492,,,improve,cripple,,intangible_asset,,hinder,,quandary
493,,,improvement,dent,,exceptional_item,,impede,,inquire
494,,,mitigate,decimate,,impairment,,derail,,question
495,,,positive,hurt,,unwillingness,,hamper,,ramification
496,,,positively,risky,,failure,,fatally_undermine,,implication
497,,,profits,mispriced,,reluctance,,stymie,,consequence
498,,,rebound,highly_leverage,,apparent_inability,,severely_hamper,,ripple_effect
499,,,recover,liquid,,refusal,,adversely_affect,,impact
500,,,recovery,cdos,,unable,,impair,,reverberation
501,,,resilience,illiquidity,,inability,,disrupt,,spillover_effect
502,,,resilient,opaque,,endanger,,stifle,,adverse_consequence
503,,,solid,securitised,,imperil,,scupper,,fallout
504,,,sound,cdo,,undermine,,jeopardise,,adverse_impact
505,,,stabilise,synthetic_cdo,,hinder,,shed,,adverse_effect
506,,,stabilize,volatile,,impede,,slip,,dire_consequence
507,,,success,sivs,,derail,,drop,,collateral_damage
508,,,successful,synthetic_cdos,,hamper,,disappear,,aftershocks
509,,,successfully,overpriced,,fatally_undermine,,fall,,repercussion
510,,,,abcp,,stymie,,miss,,illiquid
511,,,,illiquid,,severely_hamper,,claw_back,,unattractive
512,,,,impairment_charge,,adversely_affect,,cede,,highly_leverage
513,,,,writedown,,impair,,destroy,,problematic
514,,,,write_offs,,disrupt,,lose,,distress
515,,,,writedowns,,stifle,,bearish,,opportunistic
516,,,,goodwill_impairment,,scupper,,adverse,,highrisk
517,,,,writeoff,,jeopardise,,unfavourable,,volatile
518,,,,writeoffs,,shed,,weak,,toxic
519,,,,unrealise_loss,,slip,,unfavorable,,costly
520,,,,npls,,drop,,contractionary,,risky
521,,,,delinquency,,disappear,,downbeat,,severe
522,,,,loss,,recover,,volatile,,greatly
523,,,,contingent_liability,,fall,,adversely,,badly
524,,,,unrealise_gain,,miss,,short_term,,irreparably
525,,,,intangible_asset,,claw_back,,gloomy,,grievously
526,,,,exceptional_item,,cede,,negative,,hamstring
527,,,,impairment,,destroy,,face,,cripple
528,,,,unwillingness,,lose,,confront,,severely_affect
529,,,,failure,,bearish,,beset,,drastically
530,,,,ability,,adverse,,create,,gravely
531,,,,reluctance,,unfavourable,,exacerbate,,severely_damage
532,,,,willingness,,weak,,aggravate,,exacerbate
533,,,,apparent_inability,,unfavorable,,tackle,,irretrievably
534,,,,determination,,contractionary,,sidestep,,aggravate
535,,,,desire,,downbeat,,sacing,,massively
536,,,,refusal,,volatile,,overcome,,severely
537,,,,eagerness,,adversely,,cause,,deficit
538,,,,attempt,,short_term,,provoke,,loss
539,,,,unable,,gloomy,,expose,,gap
540,,,,effort,,negative,,pose,,deficiency
541,,,,readiness,,face,,ques_tions,,discrepancy
542,,,,uncanny_ability,,confront,,ques_tion,,shortage
543,,,,inability,,beset,,doubt,,outflow
544,,,,endanger,,create,,thorny_question,,deterioration
545,,,,imperil,,exacerbate,,dilemma,,outlay
546,,,,undermine,,aggravate,,unanswered_question,,cutback
547,,,,hinder,,tackle,,query,,black_hole
548,,,,impede,,sidestep,,debate,,imbalance
549,,,,derail,,sacing,,conundrum,,overspend
550,,,,hamper,,overcome,,concern,,downward_revision
551,,,,fatally_undermine,,cause,,thorny_issue,,shortfall
552,,,,stymie,,provoke,,vex_question,,downward_spiral
553,,,,severely_hamper,,expose,,disagreement,,escalate
554,,,,adversely_affect,,magnify,,quandary,,vicious_cycle
555,,,,impair,,pose,,inquire,,uncontrollable
556,,,,disrupt,,ques_tions,,question,,deflationary_spiral
557,,,,stifle,,ques_tion,,ramification,,creep
558,,,,scupper,,doubt,,implication,,uncontrolled
559,,,,jeopardise,,thorny_question,,consequence,,skyrocket
560,,,,regain,,dilemma,,ripple_effect,,runaway
561,,,,shed,,unanswered_question,,impact,,vicious_spiral
562,,,,slip,,query,,reverberation,,excessive
563,,,,win,,debate,,spillover_effect,,deflation
564,,,,drop,,conundrum,,adverse_consequence,,hyper_inflation
565,,,,disappear,,concern,,fallout,,inflationary_spiral
566,,,,earn,,thorny_issue,,adverse_impact,,spiral
567,,,,climb,,vex_question,,adverse_effect,,constraint
568,,,,gain,,disagreement,,dire_consequence,,downward_pressure
569,,,,recover,,quandary,,collateral_damage,,downturn
570,,,,fall,,inquire,,aftershocks,,recession
571,,,,miss,,question,,effect,,crunch
572,,,,claw_back,,ramification,,repercussion,,strain
573,,,,cede,,implication,,illiquid,,suck
574,,,,destroy,,consequence,,unattractive,,downward_spiral
575,,,,lose,,ripple_effect,,highly_leverage,,drain
576,,,,positive,,impact,,problematic,,spiral
577,,,,bearish,,reverberation,,distress,,slump
578,,,,adverse,,spillover_effect,,opportunistic,,drag
579,,,,unfavourable,,adverse_consequence,,highrisk,,intense_competition
580,,,,benign,,fallout,,expensive,,squeeze
581,,,,bullish,,adverse_impact,,volatile,,stagnant
582,,,,weak,,adverse_effect,,toxic,,sluggish
583,,,,favourable,,dire_consequence,,costly,,decelerate
584,,,,unfavorable,,collateral_damage,,risky,,falter
585,,,,contractionary,,aftershocks,,severe,,stagnation
586,,,,downbeat,,effect,,greatly,,shrink
587,,,,volatile,,repercussion,,badly,,anaemic
588,,,,adversely,,illiquid,,irreparably,,slow
589,,,,short_term,,unattractive,,grievously,,slacken
590,,,,gloomy,,highly_leverage,,hamstring,,flatlining
591,,,,negative,,problematic,,cripple,,depress
592,,,,face,,distress,,severely_affect,,slump
593,,,,confront,,opportunistic,,drastically,,deteriorate
594,,,,beset,,highrisk,,gravely,,lag_behind
595,,,,create,,expensive,,severely_damage,,stagnate
596,,,,exacerbate,,volatile,,exacerbate,,severe_strain
597,,,,solve,,toxic,,irretrievably,,pressure
598,,,,aggravate,,costly,,aggravate,,constraint
599,,,,tackle,,risky,,massively,,downward_pressure
600,,,,sidestep,,severe,,severely,,pres_sure
601,,,,sacing,,greatly,,deficit,,burden
602,,,,overcome,,badly,,loss,,ressure
603,,,,cause,,irreparably,,gap,,tension
604,,,,provoke,,grievously,,deficiency,,pres-_sure
605,,,,expose,,hamstring,,discrepancy,,squeeze
606,,,,magnify,,cripple,,shortage,,difficulty
607,,,,pose,,severely_affect,,outflow,,fragility
608,,,,ques_tions,,drastically,,deterioration,,instability
609,,,,ques_tion,,gravely,,outlay,,presure
610,,,,doubt,,severely_damage,,cutback,,strain
611,,,,thorny_question,,exacerbate,,black_hole,,stress
612,,,,dilemma,,irretrievably,,imbalance,,scramble
613,,,,unanswered_question,,aggravate,,overspend,,unable
614,,,,query,,massively,,downward_revision,,battle
615,,,,debate,,severely,,shortfall,,uphill_struggle
616,,,,conundrum,,deficit,,downward_spiral,,uphill_battle
617,,,,concern,,loss,,escalate,,fail
618,,,,thorny_issue,,gap,,vicious_cycle,,fight
619,,,,vex_question,,deficiency,,uncontrollable,,difficult
620,,,,disagreement,,discrepancy,,balloon,,grapple
621,,,,quandary,,shortage,,deflationary_spiral,,anxious
622,,,,inquire,,outflow,,creep,,flounder
623,,,,question,,deterioration,,uncontrolled,,struggle
624,,,,ramification,,outlay,,skyrocket,,susfered
625,,,,implication,,cutback,,runaway,,susfering
626,,,,consequence,,black_hole,,vicious_spiral,,susser
627,,,,ripple_effect,,imbalance,,excessive,,afflict
628,,,,impact,,overspend,,deflation,,hurt
629,,,,reverberation,,downward_revision,,hyper_inflation,,hit
630,,,,spillover_effect,,shortfall,,inflationary_spiral,,benesited
631,,,,adverse_consequence,,downward_spiral,,spiral,,susfers
632,,,,fallout,,escalate,,constraint,,reel
633,,,,adverse_impact,,vicious_cycle,,downward_pressure,,plague
634,,,,adverse_effect,,uncontrollable,,downturn,,inflict
635,,,,dire_consequence,,balloon,,recession,,endure
636,,,,collateral_damage,,deflationary_spiral,,crunch,,suffer
637,,,,aftershocks,,creep,,strain,,imperil
638,,,,effect,,uncontrolled,,suck,,cripple
639,,,,repercussion,,skyrocket,,downward_spiral,,endanger
640,,,,illiquid,,runaway,,drain,,disrupt
641,,,,risk_averse,,vicious_spiral,,spiral,,undermine
642,,,,unattractive,,excessive,,slump,,severely_damage
643,,,,highly_leverage,,deflation,,drag,,jeopardise
644,,,,problematic,,hyper_inflation,,flatten,,paralyse
645,,,,distress,,inflationary_spiral,,intense_competition,,decimate
646,,,,safe,,spiral,,squeeze,,destabilise
647,,,,opportunistic,,constraint,,stagnant,,avert
648,,,,highrisk,,downward_pressure,,sluggish,,force
649,,,,expensive,,downturn,,decelerate,,threat
650,,,,volatile,,recession,,falter,,fear
651,,,,plain_vanilla,,crunch,,stagnation,,threaten
652,,,,toxic,,strain,,shrink,,tumultuous
653,,,,costly,,suck,,anaemic,,torrid
654,,,,attractive,,downward_spiral,,slow,,stormy
655,,,,risky,,drain,,slacken,,traumatic
656,,,,severe,,spiral,,flatlining,,eventful
657,,,,greatly,,slump,,depress,,tempestuous
658,,,,badly,,drag,,slump,,rocky
659,,,,irreparably,,flatten,,deteriorate,,miserable
660,,,,grievously,,intense_competition,,lag_behind,,choppy
661,,,,hamstring,,squeeze,,stagnate,,volatile
662,,,,cripple,,stagnant,,severe_strain,,febrile
663,,,,severely_affect,,sluggish,,pressure,,perilous
664,,,,drastically,,decelerate,,upward_pressure,,roller_coaster
665,,,,gravely,,falter,,constraint,,tumult
666,,,,severely_damage,,stagnation,,downward_pressure,,turbulent
667,,,,exacerbate,,shrink,,pres_sure,,unwilling
668,,,,irretrievably,,anaemic,,burden,,reluctant
669,,,,aggravate,,slow,,ressure,,fail
670,,,,massively,,slacken,,tension,,loath
671,,,,severely,,flatlining,,pres-_sure,,unlikely
672,,,,surplus,,depress,,squeeze,,refuse
673,,,,deficit,,slump,,difficulty,,inability
674,,,,loss,,deteriorate,,fragility,,struggle
675,,,,gap,,lag_behind,,instability,,impossible
676,,,,deficiency,,stagnate,,presure,,anxious
677,,,,discrepancy,,severe_strain,,strain,,virtually_impossible
678,,,,shortage,,pressure,,stress,,unable
679,,,,outflow,,upward_pressure,,scramble,,jeopardise
680,,,,deterioration,,constraint,,unable,,erode
681,,,,outlay,,downward_pressure,,battle,,hinder
682,,,,cutback,,pres_sure,,strive,,hamper
683,,,,black_hole,,burden,,uphill_struggle,,imperil
684,,,,imbalance,,ressure,,uphill_battle,,stifle
685,,,,overspend,,tension,,attempt,,impede
686,,,,downward_revision,,pres-_sure,,fail,,fatally_undermine
687,,,,shortfall,,squeeze,,fight,,endanger
688,,,,downward_spiral,,difficulty,,difficult,,stymie
689,,,,escalate,,fragility,,grapple,,destabilise
690,,,,vicious_cycle,,instability,,anxious,,exacerbate
691,,,,uncontrollable,,presure,,flounder,,undermine
692,,,,balloon,,strain,,struggle,,disquiet
693,,,,deflationary_spiral,,stress,,susfered,,anxiety
694,,,,creep,,scramble,,susfering,,nervousness
695,,,,uncontrolled,,try,,susser,,unhappiness
696,,,,skyrocket,,unable,,afflict,,uneasiness
697,,,,runaway,,battle,,hurt,,wariness
698,,,,vicious_spiral,,strive,,hit,,apprehension
699,,,,excessive,,uphill_struggle,,benesited,,dissatisfaction
700,,,,deflation,,uphill_battle,,susfers,,scepticism
701,,,,hyper_inflation,,attempt,,reel,,frustration
702,,,,inflationary_spiral,,eager,,plague,,misgiving
703,,,,spiral,,fail,,face,,discontent
704,,,,constraint,,fight,,inflict,,irritation
705,,,,downward_pressure,,difficult,,endure,,anger
706,,,,downturn,,grapple,,suffer,,concern
707,,,,recession,,anxious,,imperil,,unease
708,,,,crunch,,flounder,,cripple,,thanexpected
709,,,,strain,,struggle,,endanger,,unusually
710,,,,suck,,susfered,,disrupt,,surprisingly
711,,,,downward_spiral,,susfering,,undermine,,unexpected
712,,,,drain,,susser,,severely_damage,,exceptionally
713,,,,upward_pressure,,afflict,,jeopardise,,unprecedentedly
714,,,,spiral,,hurt,,paralyse,,alarmingly
715,,,,slump,,hit,,decimate,,sharply
716,,,,drag,,benesited,,destabilise,,unexpectedly
717,,,,flatten,,susfers,,avert,,susceptible
718,,,,intense_competition,,reel,,force,,expose
719,,,,squeeze,,plague,,threat,,prone
720,,,,stagnant,,bounce_back,,fear,,heavily_expose
721,,,,sluggish,,face,,threaten,,problematic
722,,,,decelerate,,inflict,,tumultuous,,sensitive
723,,,,falter,,endure,,torrid,,fragile
724,,,,stagnation,,suffer,,stormy,,unstable
725,,,,shrink,,imperil,,traumatic,,unattractive
726,,,,anaemic,,cripple,,eventful,,unlikely
727,,,,slow,,endanger,,tempestuous,,vulnerable
728,,,,slacken,,disrupt,,rocky,,sluggishness
729,,,,flatlining,,undermine,,miserable,,deterioration
730,,,,depress,,severely_damage,,choppy,,slowdown
731,,,,slump,,jeopardise,,relative_calm,,weaken
732,,,,deteriorate,,paralyse,,volatile,,malaise
733,,,,lag_behind,,decimate,,febrile,,fragility
734,,,,stabilise,,destabilise,,perilous,,underperformance
735,,,,stagnate,,avert,,roller_coaster,,weak
736,,,,severe_strain,,force,,tumult,,turbulence
737,,,,pressure,,threat,,turbulent,,weakness
738,,,,upward_pressure,,fear,,unwilling,,deteriorate
739,,,,constraint,,threaten,,reluctant,,aggravate
740,,,,downward_pressure,,tumultuous,,fail,,exacerbate
741,,,,pres_sure,,torrid,,loath,,deterioration
742,,,,burden,,stormy,,unlikely,,weaken
743,,,,ressure,,traumatic,,refuse,,deepen
744,,,,tension,,eventful,,inability,,dire
745,,,,pres-_sure,,tempestuous,,struggle,,depress
746,,,,squeeze,,rocky,,impossible,,rapid_deterioration
747,,,,difficulty,,miserable,,anxious,,sharp_deterioration
748,,,,fragility,,choppy,,virtually_impossible,,severe
749,,,,instability,,relative_calm,,unable,,heighten
750,,,,presure,,volatile,,jeopardise,,intensify
751,,,,strain,,febrile,,erode,,worsen
752,,,,emphasise,,perilous,,hinder,,writedown
753,,,,acknowledge,,roller_coaster,,hamper,,write_offs
754,,,,insist,,tumult,,imperil,,impairment_charge
755,,,,concede,,turbulent,,stifle,,impairment
756,,,,argue,,unwilling,,impede,,writeoffs
757,,,,admit,,reluctant,,fatally_undermine,,unrealise_loss
758,,,,say,,fail,,endanger,,loss
759,,,,suggest,,oblige,,stymie,,writeoff
760,,,,believe,,loath,,destabilise,,markdowns
761,,,,warn,,try,,exacerbate,,subprime
762,,,,indicate,,unlikely,,undermine,,redemptions
763,,,,conclude,,refuse,,disquiet,,capital_raisings
764,,,,reject_suggestion,,inability,,anxiety,,rating_downgrade
765,,,,recognise,,struggle,,nervousness,,divestments
766,,,,acutely_aware,,impossible,,unhappiness,,goodwill_impairment
767,,,,stress,,anxious,,uneasiness,,writedowns
768,,,,scramble,,virtually_impossible,,wariness,,abrupt
769,,,,try,,unable,,apprehension,,adverse
770,,,,unable,,jeopardise,,dissatisfaction,,adversely
771,,,,battle,,erode,,scepticism,,aggravate
772,,,,strive,,hinder,,frustration,,bad
773,,,,uphill_struggle,,hamper,,misgiving,,burden
774,,,,uphill_battle,,imperil,,discontent,,challenge
775,,,,attempt,,stifle,,irritation,,closure
776,,,,eager,,impede,,anger,,contraction
777,,,,fail,,fatally_undermine,,concern,,costly
778,,,,fight,,endanger,,unease,,damage
779,,,,difficult,,stymie,,thanexpected,,danger
780,,,,grapple,,destabilise,,unusually,,deficit
781,,,,anxious,,underpin,,surprisingly,,dent
782,,,,flounder,,exacerbate,,unexpected,,destabilise
783,,,,struggle,,undermine,,noticeably,,deteriorate
784,,,,susfered,,disquiet,,exceptionally,,deterioration
785,,,,susfering,,anxiety,,unprecedentedly,,deterioration
786,,,,susser,,nervousness,,alarmingly,,difficult
787,,,,afflict,,unhappiness,,sharply,,discourage
788,,,,hurt,,uneasiness,,unspectacular,,downgrade
789,,,,hit,,wariness,,unexpectedly,,drag
790,,,,recover,,apprehension,,susceptible,,erode
791,,,,benesited,,dissatisfaction,,expose,,erosion
792,,,,susfers,,scepticism,,prone,,exacerbate
793,,,,reel,,frustration,,heavily_expose,,expose
794,,,,plague,,misgiving,,problematic,,fear
795,,,,bounce_back,,discontent,,sensitive,,force
796,,,,face,,irritation,,fragile,,fragility
797,,,,inflict,,anger,,unstable,,gloomy
798,,,,endure,,concern,,unattractive,,hurt
799,,,,suffer,,unease,,unlikely,,illiquid
800,,,,imperil,,thanexpected,,vulnerable,,impairment
801,,,,cripple,,unusually,,sluggishness,,inability
802,,,,endanger,,surprisingly,,deterioration,,jeopardise
803,,,,disrupt,,unexpected,,slowdown,,lose
804,,,,undermine,,noticeably,,weaken,,negative
805,,,,severely_damage,,exceptionally,,malaise,,pose
806,,,,jeopardise,,unprecedentedly,,overvaluation,,question
807,,,,paralyse,,alarmingly,,fragility,,repercussion
808,,,,decimate,,sharply,,underperformance,,risky
809,,,,destabilise,,unspectacular,,weak,,severely
810,,,,avert,,unexpectedly,,turbulence,,shortfall
811,,,,force,,susceptible,,weakness,,spiral
812,,,,threat,,expose,,deteriorate,,squeeze
813,,,,vow,,prone,,aggravate,,stagnate
814,,,,fear,,heavily_expose,,exacerbate,,strain
815,,,,threaten,,resilient,,deterioration,,stress
816,,,,tumultuous,,problematic,,weaken,,struggle
817,,,,torrid,,sensitive,,deepen,,suffer
818,,,,stormy,,fragile,,dire,,threaten
819,,,,traumatic,,immune,,depress,,turbulent
820,,,,eventful,,unstable,,rapid_deterioration,,unable
821,,,,tempestuous,,unattractive,,sharp_deterioration,,undermine
822,,,,rocky,,unlikely,,severe,,unease
823,,,,miserable,,vulnerable,,heighten,,unexpectedly
824,,,,choppy,,sluggishness,,intensify,,vulnerable
825,,,,relative_calm,,deterioration,,worsen,,weakness
826,,,,volatile,,softness,,writedown,,worsen
827,,,,febrile,,slowdown,,write_offs,,writedowns
828,,,,perilous,,weaken,,impairment_charge,,
829,,,,roller_coaster,,malaise,,impairment,,
830,,,,tumult,,overvaluation,,writeoffs,,
831,,,,turbulent,,fragility,,unrealise_loss,,
832,,,,able,,underperformance,,loss,,
833,,,,unwilling,,weak,,writeoff,,
834,,,,reluctant,,turbulence,,markdowns,,
835,,,,fail,,weakness,,subprime,,
836,,,,oblige,,deteriorate,,redemptions,,
837,,,,loath,,aggravate,,capital_raisings,,
838,,,,try,,exacerbate,,rating_downgrade,,
839,,,,unlikely,,deterioration,,divestments,,
840,,,,refuse,,weaken,,goodwill_impairment,,
841,,,,inability,,deepen,,writedowns,,
842,,,,struggle,,dire,,abrupt,,
843,,,,eager,,depress,,adverse,,
844,,,,impossible,,rapid_deterioration,,adversely,,
